#timestamp, new_cases_RKI, num_users_submitted_keys, ratio_CWA_RKI
1592784000,503,0,0.000000
1592870400,587,27,0.045997
1592956800,630,11,0.017460
1593043200,477,19,0.039832
1593129600,687,20,0.029112
1593216000,256,15,0.058594
1593302400,262,8,0.030534
1593388800,498,15,0.030120
1593475200,466,26,0.055794
1593561600,503,17,0.033797
1593648000,446,33,0.073991
1593734400,422,16,0.037915
1593820800,239,11,0.046025
1593907200,219,3,0.013699
1593993600,390,10,0.025641
1594080000,397,14,0.035264
1594166400,442,8,0.018100
1594252800,395,15,0.037975
1594339200,378,27,0.071429
1594425600,248,19,0.076613
1594512000,159,4,0.025157
1594598400,412,8,0.019417
1594684800,351,21,0.059829
1594771200,534,22,0.041199
1594857600,583,23,0.039451
1594944000,529,23,0.043478
1595030400,202,20,0.099010
1595116800,249,7,0.028112
1595203200,522,9,0.017241
1595289600,454,15,0.033040
1595376000,569,13,0.022847
1595462400,815,25,0.030675
1595548800,781,22,0.028169
1595635200,305,12,0.039344
1595721600,340,13,0.038235
1595808000,633,10,0.015798
1595894400,684,33,0.048246
1595980800,902,38,0.042129
1596067200,870,42,0.048276
1596153600,955,27,0.028272
1596240000,240,27,0.112500
1596326400,509,25,0.049116
1596412800,879,28,0.031854
1596499200,741,51,0.068826
1596585600,1045,47,0.044976
1596672000,1147,56,0.048823
1596758400,1122,40,0.035651
1596844800,555,28,0.050450
1596931200,436,12,0.027523
1597017600,966,43,0.044513
1597104000,1226,41,0.033442
1597190400,1445,68,0.047059
1597276800,1449,70,0.048309
1597363200,1415,54,0.038163
1597449600,625,53,0.084800
1597536000,561,33,0.058824
1597622400,1390,56,0.040288
1597708800,1510,75,0.049669
1597795200,1707,82,0.048037
1597881600,1427,91,0.063770
1597968000,2034,63,0.030973
1598054400,782,66,0.084399
1598140800,711,51,0.071730
1598227200,1278,66,0.051643
1598313600,1576,81,0.051396
1598400000,1507,88,0.058394
1598486400,1571,103,0.065563
1598572800,1479,99,0.066937
1598659200,785,65,0.082803
1598745600,610,42,0.068852
1598832000,1218,65,0.053366
1598918400,1256,90,0.071656
1599004800,1311,117,0.089245
1599091200,1453,116,0.079835
1599177600,1378,117,0.084906
1599264000,988,80,0.080972
1599350400,814,42,0.051597
